COMUNA,POBLACIÓN,Distribución Geográgfica,Localización Geográfica,Comuna Metropolitana ,Dependencia FCM (%),Gasto total municipal por cada habitante de la comuna  M$ / Habitante (promedio 2013-2015),CL2,CL4,CL5,CL,AN1,AN3,AN5,AN,CS1,CS2,CS4,CS7,CS,CM1,CM3,CM5,CM,SM1,SM4,SM5,SM6,SM,VE1,VE3,VE4,VE6,VE,ICVU2017,RANGO
Alto Hospicio,124.872,Norte,Costa,si,"55,6","109,5","51,6","46,8","43,9","47,4","9,1","9,1","0,0","6,0","2,2","18,3","14,5","23,6","14,7","40,1","35,2","63,0","46,1","60,8","2,0","73,3","29,8","41,5","9,2","42,0","49,2","25,5","31,5","33,4",INFERIOR
Angol,55.845,Sur,Interior,no,"69,7","170,2","66,9","23,0","71,8","53,9","22,1","22,1","24,1","22,7","73,7","13,7","49,1","44,4","45,2","0,0","80,3","42,2","40,8","18,7","54,2","84,8","63,7","55,4","31,2","64,9","69,4","67,6","58,2","47,7",SUPERIOR
Antofagasta,389.812,Norte,Costa,si,"14,3","187,3","73,8","45,0","35,2","51,3","26,9","26,9","43,9","32,6","2,9","71,0","34,5","14,1","30,6","66,0","96,8","7,9","56,9","29,8","43,5","49,6","29,5","38,1","23,1","55,7","21,5","15,2","28,9","40,4",PROMEDIO
Arica,243.701,Norte,Costa,no,"46,2","113,3","63,9","72,7","8,9","48,5","18,8","18,8","10,8","16,1","35,2","0,0","38,2","20,9","23,6","54,9","87,6","11,5","51,4","39,5","12,2","41,9","66,3","40,0","19,0","59,9","56,8","13,7","37,4","38,0",PROMEDIO
Buin,86.079,Centro,Interior,si,"21,9","171,2","67,0","53,6","49,2","56,6","11,7","11,7","36,6","20,0","48,7","43,8","29,1","53,9","43,9","33,3","60,4","14,5","36,1","35,9","42,7","64,7","55,8","49,8","15,8","57,5","36,7","57,4","41,8","42,4",PROMEDIO
Calama,181.897,Norte,Interior,no,"20,6","171,9","54,8","100,0","76,3","77,0","34,6","34,6","46,5","38,6","28,4","57,0","30,9","11,7","32,0","75,3","100,0","4,9","60,1","25,5","43,5","48,3","0,6","29,5","2,7","29,5","15,0","17,9","16,3","42,1",PROMEDIO
Castro,49.451,Sur,Costa,no,"58,2","249,1","56,1","24,6","100,0","60,2","28,2","28,2","49,4","35,3","73,4","55,9","49,1","10,2","47,2","42,3","86,3","66,2","64,9","10,7","42,4","83,7","85,9","55,7","2,5","83,3","92,1","95,7","68,4","57,2",SUPERIOR
Cerrillos,87.114,Centro,Interior,si,"16,4","190,0","84,8","21,4","0,0","35,4","37,6","37,6","5,1","26,7","7,9","23,3","9,1","0,0","10,1","25,3","17,4","21,7","21,5","31,3","42,7","49,9","68,0","48,0","54,3","70,6","38,6","23,1","46,6","32,6",INFERIOR
Cerro Navia,158.641,Centro,Interior,si,"79,2","134,2","21,9","28,1","10,5","20,2","4,5","4,5","13,6","7,5","42,7","53,8","0,0","60,7","39,3","30,7","4,6","27,2","20,8","24,6","42,7","68,2","34,3","42,4","26,6","43,9","9,1","27,1","26,7","26,9",INFERIOR
Chiguayante,101.243,Sur,Costa,si,"58,7","116,0","70,6","30,0","66,1","55,6","5,7","5,7","20,9","10,7","44,2","77,1","38,2","56,1","53,9","53,9","13,9","61,6","43,1","66,2","41,0","37,2","63,8","52,0","35,1","68,0","58,8","70,6","58,1","47,6",PROMEDIO
Chillán,181.008,Sur,Interior,si,"45,2","125,4","63,9","29,6","29,1","40,8","26,9","26,9","44,6","32,8","65,2","45,1","43,6","36,6","47,6","47,8","83,6","30,4","54,0","23,7","41,0","61,5","29,2","38,8","16,7","70,4","48,3","42,6","44,5","43,8",PROMEDIO
Chillán Viejo,33.982,Sur,Interior,si,"55,3","124,9","72,3","47,2","29,1","49,5","0,0","0,0","41,6","13,9","74,7","65,0","16,4","36,6","48,2","32,7","24,2","30,4","29,1","66,0","41,0","55,5","29,2","47,9","29,1","82,4","48,3","42,6","50,6","41,2",PROMEDIO
Colina,128.760,Centro,Interior,si,"11,0","196,7","30,3","35,5","39,9","35,2","20,1","20,1","19,8","20,0","34,5","54,9","47,3","29,7","41,6","23,5","56,2","9,9","29,9","37,3","42,7","59,2","95,6","58,7","75,8","47,2","10,8","46,6","45,1","39,6",PROMEDIO
Concepción,229.160,Sur,Costa,si,"11,4","137,3","75,0","10,3","65,3","50,2","45,8","45,8","37,4","43,0","40,9","60,5","47,3","49,2","49,5","55,1","70,2","66,3","63,9","40,7","41,0","60,4","51,0","48,3","45,4","67,4","67,0","23,4","50,8","51,7",SUPERIOR
Conchalí,141.225,Centro,Interior,si,"41,7","163,1","55,4","24,6","42,1","40,7","11,2","11,2","13,7","12,0","7,0","51,6","5,5","58,8","30,7","40,9","9,1","12,2","20,8","12,9","42,7","39,5","32,0","31,8","8,2","52,4","49,7","55,9","41,6","30,7",INFERIOR
