COMUNAS;REGIÓN;TIPO DE CIUDAD;LOCALIZACIÓN;ZONA DEL PAÍS;Población;CONDICIONES LABORALES;AMBIENTE DE NEGOCIOS;CODICIONES SOCIOCULTURALES;CONECTIVIDAD Y MOVILIDAD;SALUD Y MEDIO AMBIENTE;VIVIENDA Y ENTORNO;ICVU 2019;RANGO ICVU 2019;% Dependencia FCM 2017;Gasto Municipal por habitante(M$) 2015-2017
Vitacura;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;85.384;86,35;72,17;56,40;82,77;65,56;84,67;75,59;SUPERIOR;1,4%;812,1
Providencia;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;142.079;74,34;67,02;51,59;83,44;61,48;70,13;68,79;SUPERIOR;1,4%;738,2
Las Condes;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;294.838;85,03;69,09;57,27;85,81;58,96;84,71;74,54;SUPERIOR;1,2%;713,8
Lo Barnechea;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;105.833;72,47;67,63;35,21;83,81;59,23;86,46;69,09;SUPERIOR;1,5%;625,7
Santiago;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;404.495;78,88;50,32;49,91;78,20;47,94;46,74;59,27;SUPERIOR;1,0%;340,8
Castro;Los Lagos;INTERMEDIA;COSTA;SUR-AUSTRAL;43.807;44,80;22,79;49,33;58,09;72,35;36,16;48,76;INFERIOR;60,5%;314,5
Huechuraba;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;98.671;58,72;46,58;18,86;82,09;67,72;48,74;55,70;PROMEDIO;7,2%;304,3
Lota;Biobío;ÁREA METROPOLITANA;COSTA;SUR;43.535;57,70;21,38;39,29;56,58;75,22;23,98;47,10;INFERIOR;75,1%;280,5
Iquique;Tarapacá;ÁREA METROPOLITANA;COSTA;NORTE;191.468;67,57;44,82;69,39;68,29;54,32;42,94;58,06;SUPERIOR;8,2%;272,6
Constitución;Maule;INTERMEDIA;COSTA;SUR;46.068;64,09;31,72;46,70;61,42;65,61;33,58;51,53;PROMEDIO;62,6%;263,1
La Reina;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;92.787;80,98;66,78;50,37;88,80;72,81;58,43;70,45;SUPERIOR;5,3%;262,9
Lo Prado;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;96.249;55,63;11,72;32,64;79,71;63,19;23,65;46,90;INFERIOR;64,2%;262,8
San Joaquín;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;94.492;55,60;47,48;39,78;74,30;63,82;27,54;51,88;PROMEDIO;21,0%;251,9
Macul;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;116.534;72,11;56,92;51,32;79,78;65,60;43,32;61,92;SUPERIOR;14,4%;246,0
Viña del Mar;Valparaíso;ÁREA METROPOLITANA;COSTA;CENTRO;334.248;66,42;54,23;60,54;71,33;56,31;56,74;61,36;SUPERIOR;6,7%;241,5
La Serena;Coquimbo;ÁREA METROPOLITANA;COSTA;NORTE;221.054;66,12;33,21;42,62;69,79;61,60;53,59;56,32;PROMEDIO;27,2%;228,4
Conchalí;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;126.955;50,79;22,10;26,02;81,25;59,05;26,89;46,52;INFERIOR;41,5%;227,0
Concón;Valparaíso;ÁREA METROPOLITANA;COSTA;CENTRO;42.152;77,45;60,01;51,06;72,23;67,45;55,58;64,45;SUPERIOR;12,5%;227,0
Punta Arenas;Magallanes;INTERMEDIA;COSTA;SUR-AUSTRAL;131.592;79,35;37,71;72,33;61,18;62,99;52,78;61,79;SUPERIOR;23,0%;221,7
Calama;Antofagasta;INTERMEDIA;INTERIOR;NORTE;165.731;85,91;33,24;54,54;71,06;55,80;37,56;57,37;PROMEDIO;20,6%;221,7
Pudahuel;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;230.293;67,00;32,99;36,13;68,47;57,72;36,33;51,11;PROMEDIO;30,9%;221,6
Peñalolén;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;241.599;60,31;52,90;35,70;81,76;49,54;41,21;54,28;PROMEDIO;27,2%;221,1
Puerto Varas;Los Lagos;ÁREA METROPOLITANA;INTERIOR;SUR-AUSTRAL;44.578;64,29;62,07;58,41;50,89;76,85;40,74;58,18;SUPERIOR;14,0%;218,2
Cerrillos;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;80.832;61,41;38,34;41,83;62,03;49,66;30,80;47,82;INFERIOR;16,5%;213,3
Colina;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;146.207;66,64;66,37;27,98;50,55;63,01;48,94;53,72;PROMEDIO;10,7%;206,9
Ñuñoa;Metropolitana;ÁREA METROPOLITANA;INTERIOR;CENTRO;208.237;79,30;62,71;50,09;83,18;56,59;61,62;66,28;SUPERIOR;6,9%;206,7
