COMUNAS,Población,ZONA DEL PAÍS,LOCALIZACIÓN,TIPO DE CIUDAD,% Dependencia FCM 2017,Gasto Municipal por habitante(M$) 2015-2017,ICVU 2019,CONDICIONES LABORALES,AMBIENTE DE NEGOCIOS,CODICIONES SOCIOCULTURALES,CONECTIVIDAD Y MOVILIDAD,SALUD Y MEDIO AMBIENTE,VIVIENDA Y ENTORNO,RANGO ICVU 2019,REGIÓN,Mostrar
Vitacura,85.384,CENTRO,INTERIOR,ÁREA METROPOLITANA,1.4,812.1,75.59,86.35,72.17,56.40,82.77,65.56,84.67,SUPERIOR,Metropolitana,Comunas
Providencia,142.079,CENTRO,INTERIOR,ÁREA METROPOLITANA,1.4,738.2,68.79,74.34,67.02,51.59,83.44,61.48,70.13,SUPERIOR,Metropolitana,Comunas
Las Condes,294.838,CENTRO,INTERIOR,ÁREA METROPOLITANA,1.2,713.8,74.54,85.03,69.09,57.27,85.81,58.96,84.71,SUPERIOR,Metropolitana,Comunas
Lo Barnechea,105.833,CENTRO,INTERIOR,ÁREA METROPOLITANA,1.5,625.7,69.09,72.47,67.63,35.21,83.81,59.23,86.46,SUPERIOR,Metropolitana,Comunas
Santiago,404.495,CENTRO,INTERIOR,ÁREA METROPOLITANA,1,340.8,59.27,78.88,50.32,49.91,78.20,47.94,46.74,SUPERIOR,Metropolitana,Ciudades Metropolitanas
Castro,43.807,SUR-AUSTRAL,COSTA,INTERMEDIA,60.5,314.5,48.76,44.80,22.79,49.33,58.09,72.35,36.16,INFERIOR,Los Lagos,Ciudades Intermedias
Huechuraba,98.671,CENTRO,INTERIOR,ÁREA METROPOLITANA,7.2,304.3,55.70,58.72,46.58,18.86,82.09,67.72,48.74,PROMEDIO,Metropolitana,Comunas
Lota,43.535,SUR,COSTA,ÁREA METROPOLITANA,75.1,280.5,47.10,57.70,21.38,39.29,56.58,75.22,23.98,INFERIOR,Biobío,Comunas
Iquique,191.468,NORTE,COSTA,ÁREA METROPOLITANA,8.2,272.6,58.06,67.57,44.82,69.39,68.29,54.32,42.94,SUPERIOR,Tarapacá,Ciudades Metropolitanas
Constitución,46.068,SUR,COSTA,INTERMEDIA,62.6,263.1,51.53,64.09,31.72,46.70,61.42,65.61,33.58,PROMEDIO,Maule,Ciudades Intermedias
La Reina,92.787,CENTRO,INTERIOR,ÁREA METROPOLITANA,5.3,262.9,70.45,80.98,66.78,50.37,88.80,72.81,58.43,SUPERIOR,Metropolitana,Comunas
Lo Prado,96.249,CENTRO,INTERIOR,ÁREA METROPOLITANA,64.2,262.8,46.90,55.63,11.72,32.64,79.71,63.19,23.65,INFERIOR,Metropolitana,Comunas
San Joaquín,94.492,CENTRO,INTERIOR,ÁREA METROPOLITANA,21,251.9,51.88,55.60,47.48,39.78,74.30,63.82,27.54,PROMEDIO,Metropolitana,Comunas
Macul,116.534,CENTRO,INTERIOR,ÁREA METROPOLITANA,14.4,246.0,61.92,72.11,56.92,51.32,79.78,65.60,43.32,SUPERIOR,Metropolitana,Comunas
Viña del Mar,334.248,CENTRO,COSTA,ÁREA METROPOLITANA,6.7,241.5,61.36,66.42,54.23,60.54,71.33,56.31,56.74,SUPERIOR,Valparaíso,Ciudades Intermedias
La Serena,221.054,NORTE,COSTA,ÁREA METROPOLITANA,27.2,228.4,56.32,66.12,33.21,42.62,69.79,61.60,53.59,PROMEDIO,Coquimbo,Ciudades Intermedias
Conchalí,126.955,CENTRO,INTERIOR,ÁREA METROPOLITANA,41.5,227.0,46.52,50.79,22.10,26.02,81.25,59.05,26.89,INFERIOR,Metropolitana,Comunas
Concón,42.152,CENTRO,COSTA,ÁREA METROPOLITANA,12.5,227.0,64.45,77.45,60.01,51.06,72.23,67.45,55.58,SUPERIOR,Valparaíso,Comunas
Punta Arenas,131.592,SUR-AUSTRAL,COSTA,INTERMEDIA,23,221.7,61.79,79.35,37.71,72.33,61.18,62.99,52.78,SUPERIOR,Magallanes,Ciudades Intermedias
Calama,165.731,NORTE,INTERIOR,INTERMEDIA,20.6,221.7,57.37,85.91,33.24,54.54,71.06,55.80,37.56,PROMEDIO,Antofagasta,Ciudades Intermedias
Pudahuel,230.293,CENTRO,INTERIOR,ÁREA METROPOLITANA,30.9,221.6,51.11,67.00,32.99,36.13,68.47,57.72,36.33,PROMEDIO,Metropolitana,Comunas
Peñalolén,241.599,CENTRO,INTERIOR,ÁREA METROPOLITANA,27.2,221.1,54.28,60.31,52.90,35.70,81.76,49.54,41.21,PROMEDIO,Metropolitana,Comunas
Puerto Varas,44.578,SUR-AUSTRAL,INTERIOR,ÁREA METROPOLITANA,14,218.2,58.18,64.29,62.07,58.41,50.89,76.85,40.74,SUPERIOR,Los Lagos,Comunas
Cerrillos,80.832,CENTRO,INTERIOR,ÁREA METROPOLITANA,16.5,213.3,47.82,61.41,38.34,41.83,62.03,49.66,30.80,INFERIOR,Metropolitana,Comunas
Colina,146.207,CENTRO,INTERIOR,ÁREA METROPOLITANA,10.7,206.9,53.72,66.64,66.37,27.98,50.55,63.01,48.94,PROMEDIO,Metropolitana,Comunas
Ñuñoa,208.237,CENTRO,INTERIOR,ÁREA METROPOLITANA,6.9,206.7,66.28,79.30,62.71,50.09,83.18,56.59,61.62,SUPERIOR,Metropolitana,Comunas
Valparaíso,296.655,CENTRO,COSTA,ÁREA METROPOLITANA,28.6,205.9,57.08,63.28,34.22,58.65,74.52,63.02,41.60,PROMEDIO,Valparaíso,Ciudades Metropolitanas
La Florida,366.916,CENTRO,INTERIOR,ÁREA METROPOLITANA,39.3,203.8,57.23,66.44,38.41,38.63,85.41,58.45,45.48,PROMEDIO,Metropolitana,Comunas
Antofagasta,361.873,NORTE,COSTA,ÁREA METROPOLITANA,13.6,203.7,59.29,73.91,48.82,54.03,77.25,52.48,45.67,SUPERIOR,Antofagasta,Ciudades Metropolitanas
Maipú,521.627,CENTRO,INTERIOR,ÁREA METROPOLITANA,41.4,202.6,55.87,72.82,26.44,45.18,82.66,49.65,46.13,PROMEDIO,Metropolitana,Comunas
Melipilla,123.627,CENTRO,INTERIOR,ÁREA METROPOLITANA,55.3,199.9,47.31,56.63,18.64,53.16,45.58,71.11,31.82,INFERIOR,Metropolitana,Comunas
Tomé,54.946,SUR,COSTA,ÁREA METROPOLITANA,71,199.7,51.50,56.17,22.64,59.89,57.78,69.66,35.55,PROMEDIO,Biobío,Comunas
Quilicura,210.41,CENTRO,INTERIOR,ÁREA METROPOLITANA,15.6,199.1,55.86,83.83,37.37,28.85,79.59,59.34,36.56,PROMEDIO,Metropolitana,Comunas
Cerro Navia,132.622,CENTRO,INTERIOR,ÁREA METROPOLITANA,78,198.3,42.42,48.42,14.14,17.32,74.71,62.69,22.25,INFERIOR,Metropolitana,Comunas
Lampa,102.034,CENTRO,INTERIOR,ÁREA METROPOLITANA,15.4,198.3,51.23,67.71,50.62,44.29,47.33,60.10,38.53,PROMEDIO,Metropolitana,Comunas
Angol,53.262,SUR,INTERIOR,INTERMEDIA,68.3,193.3,39.41,43.37,25.33,43.54,36.23,56.17,29.04,INFERIOR,Araucanía,Ciudades Intermedias
Vallenar,51.917,NORTE,INTERIOR,INTERMEDIA,39.8,190.1,41.06,57.47,25.44,37.22,38.00,52.44,31.75,INFERIOR,Atacama,Ciudades Intermedias
Quinta Normal,110.026,CENTRO,INTERIOR,ÁREA METROPOLITANA,23.2,188.8,45.93,57.60,51.85,35.05,72.48,36.38,23.57,INFERIOR,Metropolitana,Comunas
San Miguel,107.954,CENTRO,INTERIOR,ÁREA METROPOLITANA,7.9,186.6,58.53,66.43,62.52,42.16,81.59,50.64,46.36,SUPERIOR,Metropolitana,Comunas
Quilpué,151.708,CENTRO,INTERIOR,ÁREA METROPOLITANA,50.7,185.8,54.94,68.36,30.29,52.14,70.48,54.71,45.13,PROMEDIO,Valparaíso,Comunas
Coyhaique,57.818,SUR-AUSTRAL,INTERIOR,INTERMEDIA,48.4,185.0,52.98,64.50,34.12,48.39,65.52,58.85,40.03,PROMEDIO,Aysén,Ciudades Intermedias
Buin,96.614,CENTRO,INTERIOR,ÁREA METROPOLITANA,19.1,182.9,46.47,72.12,49.30,35.02,43.15,42.23,38.73,INFERIOR,Metropolitana,Comunas
Renca,147.151,CENTRO,INTERIOR,ÁREA METROPOLITANA,28.8,180.7,46.70,51.03,31.29,23.26,72.48,64.86,27.56,INFERIOR,Metropolitana,Comunas
Penco,47.367,SUR,COSTA,ÁREA METROPOLITANA,58.5,177.9,48.65,59.64,28.57,44.80,61.91,63.81,27.21,INFERIOR,Biobío,Comunas
Copiapó,153.937,NORTE,COSTA,INTERMEDIA,34.4,176.7,54.60,71.03,29.98,46.34,74.51,57.90,38.75,PROMEDIO,Atacama,Ciudades Intermedias
